Logan V48.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rawFileName=Z:\home\gibraa\Dropbox\Universita\DISA\Theses\Armend\pm k1 200 a final vm 2022 0401 202208071600.raw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
From=0.0; To=36.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;Sats;Vel;V(Acc);Dist;StRate;Acc(1);Acc(2);Acc(3);Ac3Dif;Yaw;Pitch;Roll;GyroRaw1;GyroRaw2;GyroRaw3;Gyr0[degrees/s];Gyr1[degrees/s];Gyr2[degrees/s];Mag1;Mag2;Mag3;Stk;Lat;Long;Alt;gps time;Sat#;Status;Az;El;SNR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.00;;0.10;-0.03;1973.6;0.0;-0.06;-0.03;1.18;0.30;-0.36;0.27;3.003275;4087;-40;-153;30.81;0.76;0.40;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.01;;0.10;-0.04;1973.6;0.0;-0.07;-0.50;0.96;0.31;-0.38;0.28;3.181439;2358;-138;-151;17.61;-0.10;0.41;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.02;;0.10;-0.06;1973.6;0.0;-0.08;-0.34;1.08;0.31;-0.37;0.27;3.121628;-762;-377;94;-6.19;-2.18;2.42;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.03;17;0.19;-0.06;1973.6;0.0;-0.11;-0.48;1.15;0.30;-0.37;0.24;2.902633;-2854;-552;54;-22.16;-3.71;2.09;-2048;-2048;-2048;;0.77976866;-1.10931386;21;51562.10;17;0;0;0;0;2;0;0;0;0;25;0;0;0;0;19;0;0;0;0;4;0;0;0;0;20;0;0;0;0;6;0;0;0;0;9;0;0;0;0;11;0;0;0;0;12;0;0;0;0;7;2;0;0;0;21;2;0;0;0
0.04;;0.19;-0.06;1973.6;0.0;-0.10;-0.61;0.90;0.28;-0.36;0.19;2.474083;-5612;-784;256;-43.21;-5.74;3.74;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.05;;0.19;-0.06;1973.6;0.0;-0.08;-0.24;1.04;0.26;-0.34;0.15;1.933291;-7098;-752;277;-54.54;-5.46;3.92;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.06;;0.19;-0.06;1973.6;81.1;-0.07;-0.37;1.00;0.24;-0.32;0.10;1.308292;-8219;-852;294;-63.10;-6.33;4.05;-2048;-2048;-2048;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.07;;0.19;-0.06;1973.6;81.1;0.01;-0.11;0.94;0.21;-0.30;0.05;0.676781;-8322;-825;269;-63.89;-6.10;3.85;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.08;;0.19;-0.05;1973.6;81.1;0.05;-0.25;0.94;0.19;-0.28;0.01;0.017519;-8704;-750;209;-66.80;-5.44;3.36;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.09;;0.19;-0.04;1973.6;81.1;0.12;-0.15;1.00;0.16;-0.27;-0.04;-0.599314;-8165;-804;174;-62.69;-5.91;3.07;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.10;;0.19;-0.03;1973.7;81.1;0.18;0.08;1.02;0.14;-0.27;-0.08;-1.138487;-7162;-710;92;-55.03;-5.09;2.40;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.11;;0.19;-0.01;1973.7;81.1;0.23;0.13;1.01;0.13;-0.28;-0.12;-1.542074;-5396;-727;-53;-41.56;-5.24;1.22;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.12;;0.19;-0.00;1973.7;81.1;0.22;0.15;1.04;0.12;-0.29;-0.16;-1.825063;-3823;-712;-172;-29.55;-5.11;0.24;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.13;17;0.22;0.02;1973.7;81.1;0.22;0.11;1.11;0.11;-0.32;-0.19;-1.988849;-2265;-615;-294;-17.66;-4.26;-0.76;-2048;-2048;-2048;;0.77976867;-1.10931385;21;51562.20;17;0;0;0;0;2;0;0;0;0;25;0;0;0;0;19;0;0;0;0;4;0;0;0;0;20;0;0;0;0;6;0;0;0;0;9;0;0;0;0;11;0;0;0;0;12;0;0;0;0;7;2;0;0;0;21;2;0;0;0
0.14;;0.22;0.04;1973.7;81.1;0.19;0.03;0.96;0.11;-0.35;-0.21;-2.087670;-1416;-541;-339;-11.19;-3.62;-1.12;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.15;;0.22;0.05;1973.7;81.1;0.16;0.13;1.03;0.10;-0.39;-0.22;-2.127750;-647;-268;-410;-5.32;-1.23;-1.71;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.16;;0.22;0.06;1973.7;81.1;0.14;0.11;1.14;0.10;-0.43;-0.21;-2.120246;-23;-259;-478;-0.56;-1.15;-2.26;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.17;;0.22;0.07;1973.7;81.1;0.10;0.22;1.08;0.10;-0.48;-0.21;-2.050783;791;-207;-563;5.66;-0.70;-2.96;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.18;;0.22;0.08;1973.7;81.1;0.10;0.13;1.12;0.09;-0.54;-0.20;-1.934786;1404;-188;-661;10.33;-0.53;-3.76;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.19;;0.22;0.09;1973.7;81.1;0.13;0.13;1.04;0.09;-0.60;-0.20;-1.778667;1934;-261;-707;14.38;-1.17;-4.14;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.20;;0.22;0.10;1973.7;81.1;0.15;0.11;1.06;0.08;-0.66;-0.20;-1.599494;2241;-264;-743;16.72;-1.20;-4.43;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.21;;0.22;0.11;1973.7;81.1;0.16;0.15;1.08;0.08;-0.73;-0.20;-1.382470;2743;-270;-836;20.55;-1.25;-5.19;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.22;;0.22;0.12;1973.7;81.1;0.19;0.12;0.98;0.08;-0.81;-0.20;-1.138038;3109;-251;-892;23.34;-1.08;-5.65;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.23;17;0.17;0.14;1973.7;81.1;0.25;0.10;1.04;0.08;-0.89;-0.21;-0.866107;3477;-292;-975;26.15;-1.44;-6.33;-2048;-2048;-2048;;0.77976867;-1.10931385;21;51562.30;17;0;0;0;0;2;0;0;0;0;25;0;0;0;0;19;0;0;0;0;4;0;0;0;0;20;0;0;0;0;6;0;0;0;0;9;0;0;0;0;11;0;0;0;0;12;0;0;0;0;7;2;0;0;0;21;2;0;0;0
0.24;;0.17;0.16;1973.7;81.1;0.29;0.03;1.06;0.08;-0.97;-0.21;-0.588754;3556;-321;-1024;26.76;-1.70;-6.73;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.25;;0.17;0.20;1973.7;81.1;0.39;0.05;0.99;0.07;-1.06;-0.22;-0.311560;3562;-364;-1063;26.80;-2.07;-7.05;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.26;;0.17;0.24;1973.7;81.1;0.45;0.01;1.02;0.07;-1.15;-0.24;-0.036213;3546;-502;-1081;26.68;-3.28;-7.20;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.27;;0.17;0.28;1973.7;81.1;0.49;0.02;0.99;0.06;-1.25;-0.26;0.232861;3472;-462;-1133;26.11;-2.93;-7.62;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.28;;0.17;0.32;1973.7;81.1;0.49;-0.06;1.02;0.05;-1.34;-0.28;0.488211;3300;-510;-1168;24.80;-3.35;-7.91;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.29;;0.17;0.36;1973.7;81.1;0.45;-0.10;1.06;0.04;-1.44;-0.30;0.710301;2871;-546;-1187;21.53;-3.66;-8.06;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.30;;0.17;0.40;1973.7;81.1;0.48;-0.13;1.02;0.05;-1.54;-0.33;0.898062;2427;-596;-1223;18.14;-4.10;-8.36;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.31;;0.17;0.44;1973.7;81.1;0.50;-0.10;1.05;0.06;-1.64;-0.36;1.060258;2097;-616;-1239;15.62;-4.27;-8.49;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.32;;0.17;0.49;1973.7;81.1;0.57;-0.04;1.04;0.09;-1.75;-0.40;1.224368;2127;-657;-1290;15.85;-4.63;-8.91;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.33;17;0.22;0.54;1973.7;81.1;0.60;-0.07;1.02;0.14;-1.86;-0.43;1.389404;2144;-598;-1348;15.98;-4.11;-9.38;-2048;-2048;-2048;;0.77976867;-1.10931386;21;51562.40;17;0;0;0;0;2;0;0;0;0;25;0;0;0;0;19;0;0;0;0;4;0;0;0;0;20;0;0;0;0;6;0;0;0;0;9;0;0;0;0;11;0;0;0;0;12;0;0;0;0;7;2;0;0;0;21;2;0;0;0
0.34;;0.22;0.59;1973.7;81.1;0.57;-0.11;1.01;0.22;-1.97;-0.45;1.546150;2040;-544;-1382;15.19;-3.64;-9.66;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.35;;0.22;0.62;1973.7;81.1;0.46;-0.25;0.99;0.32;-2.08;-0.48;1.625100;1023;-599;-1359;7.43;-4.12;-9.47;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.36;;0.22;0.66;1973.7;81.1;0.44;-0.59;0.99;0.44;-2.17;-0.52;1.566025;-787;-787;-1115;-6.39;-5.76;-7.47;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.37;;0.22;0.69;1973.7;81.1;0.44;0.58;1.09;0.56;-2.23;-0.60;1.412844;-2024;-1112;-723;-15.83;-8.60;-4.27;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.38;;0.22;0.73;1973.7;81.1;0.49;0.09;0.65;0.67;-2.33;-0.63;1.432887;247;-635;-1208;1.50;-4.44;-8.24;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.39;;0.22;0.76;1973.7;81.1;0.39;-0.32;1.30;0.78;-2.39;-0.67;1.354624;-1043;-689;-786;-8.34;-4.91;-4.78;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.40;;0.22;0.79;1973.7;81.1;0.43;-0.04;1.51;0.88;-2.44;-0.71;1.362786;90;-721;-674;0.31;-5.19;-3.87;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.41;;0.22;0.83;1973.7;81.1;0.45;-0.31;0.52;0.98;-2.48;-0.74;1.224947;-1827;-726;-474;-14.32;-5.23;-2.23;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.42;;0.22;0.87;1973.7;81.1;0.50;0.59;1.42;1.07;-2.53;-0.76;1.318369;1206;-435;-724;8.82;-2.69;-4.28;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.43;17;0.80;0.89;1973.7;81.1;0.35;-0.33;1.68;1.14;-2.59;-0.80;1.374756;722;-729;-688;5.13;-5.26;-3.98;-2048;-2048;-2048;;0.77976865;-1.10931387;21;51562.50;17;0;0;0;0;2;0;0;0;0;25;0;0;0;0;19;0;0;0;0;4;0;0;0;0;20;0;0;0;0;6;0;0;0;0;9;0;0;0;0;11;0;0;0;0;12;0;0;0;0;7;2;0;0;0;21;2;0;0;0
0.44;;0.80;0.90;1973.7;81.1;0.49;0.19;0.03;1.17;-2.63;-0.83;1.451161;986;-601;-566;7.14;-4.14;-2.98;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.45;;0.80;0.94;1973.7;81.1;0.40;-0.47;0.84;1.17;-2.69;-0.84;1.506337;709;-411;-796;5.03;-2.48;-4.86;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.46;;0.80;0.97;1973.7;81.1;0.34;-0.37;1.87;1.14;-2.76;-0.83;1.561574;711;-149;-887;5.05;-0.19;-5.61;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.47;;0.80;1.00;1973.8;81.1;0.37;-0.17;0.46;1.08;-2.83;-0.80;1.663995;1332;13;-851;9.78;1.22;-5.31;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.48;;0.80;1.03;1973.8;81.1;0.38;0.16;0.45;1.00;-2.89;-0.82;1.811422;1926;-495;-780;14.32;-3.21;-4.73;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.49;;0.80;1.07;1973.8;81.1;0.48;0.04;1.87;0.92;-2.97;-0.79;2.063434;3304;61;-1000;24.83;1.64;-6.53;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.50;;0.80;1.09;1973.8;81.1;0.36;0.05;1.06;0.83;-3.06;-0.78;2.463862;5261;-192;-1164;39.77;-0.57;-7.88;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.51;;0.80;1.13;1973.8;81.1;0.42;0.04;0.49;0.74;-3.15;-0.74;2.920141;6007;211;-1158;45.46;2.95;-7.83;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.52;;0.80;1.15;1973.8;81.1;0.32;0.14;1.38;0.66;-3.25;-0.72;3.484829;7445;-65;-1263;56.43;0.54;-8.69;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.53;17;1.11;1.17;1973.8;81.1;0.32;-0.01;1.33;0.61;-3.36;-0.70;4.134821;8583;-4;-1436;65.12;1.07;-10.10;-2048;-2048;-2048;;0.77976864;-1.10931388;21;51562.60;17;0;0;0;0;2;0;0;0;0;25;0;0;0;0;19;0;0;0;0;4;0;0;0;0;20;0;0;0;0;6;0;0;0;0;9;0;0;0;0;11;0;0;0;0;12;0;0;0;0;7;2;0;0;0;21;2;0;0;0
0.54;;1.11;1.20;1973.8;81.1;0.29;-0.22;0.59;0.57;-3.49;-0.69;4.812954;8973;-202;-1566;68.09;-0.66;-11.16;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.55;;1.11;1.22;1973.8;81.1;0.31;-0.30;0.81;0.57;-3.61;-0.66;5.415727;8005;83;-1596;60.71;1.83;-11.41;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.56;;1.11;1.24;1973.8;81.1;0.28;-0.60;1.38;0.59;-3.73;-0.66;5.850979;5825;-270;-1507;44.07;-1.25;-10.68;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.57;;1.11;1.26;1973.9;81.1;0.26;-0.06;1.03;0.63;-3.85;-0.67;6.180422;4451;-394;-1568;33.59;-2.33;-11.18;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.58;;1.11;1.28;1973.9;81.1;0.26;-0.76;0.86;0.66;-3.97;-0.70;6.265457;1254;-621;-1520;9.19;-4.31;-10.79;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.59;;1.11;1.30;1973.9;81.1;0.23;-0.02;1.46;0.69;-4.08;-0.76;6.242990;-152;-890;-1419;-1.54;-6.66;-9.96;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.60;;1.11;1.31;1973.9;81.1;0.20;-0.43;1.05;0.72;-4.20;-0.81;6.056151;-2308;-900;-1559;-17.99;-6.75;-11.11;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.61;;1.11;1.34;1973.9;81.1;0.30;0.08;0.65;0.72;-4.32;-0.85;5.767984;-3641;-766;-1546;-28.16;-5.58;-11.00;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.62;17;1.35;1.35;1973.9;81.1;0.20;-0.34;1.60;0.72;-4.45;-0.88;5.433020;-4261;-572;-1684;-32.90;-3.89;-12.13;-2048;-2048;-2048;;0.77976862;-1.10931390;21;51562.70;17;0;0;0;0;2;0;0;0;0;25;0;0;0;0;19;0;0;0;0;4;0;0;0;0;20;0;0;0;0;6;0;0;0;0;9;0;0;0;0;11;0;0;0;0;12;0;0;0;0;7;2;0;0;0;21;2;0;0;0
0.63;;1.35;1.35;1973.9;81.1;0.17;-0.24;1.18;0.70;-4.56;-0.96;5.001976;-5530;-1166;-1477;-42.58;-9.07;-10.44;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.64;;1.35;1.36;1973.9;81.1;0.14;-0.17;0.43;0.68;-4.68;-1.04;4.501977;-6446;-1215;-1551;-49.57;-9.50;-11.04;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.65;;1.35;1.36;1973.9;81.1;0.12;-0.24;1.18;0.65;-4.79;-1.13;3.924228;-7480;-1336;-1446;-57.46;-10.56;-10.18;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.66;;1.35;1.37;1974.0;81.1;0.09;-0.06;1.46;0.62;-4.90;-1.20;3.337315;-7616;-1029;-1502;-58.50;-7.88;-10.64;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.67;;1.35;1.36;1974.0;81.1;-0.01;-0.21;0.62;0.59;-5.02;-1.27;2.692028;-8399;-1182;-1487;-64.47;-9.21;-10.52;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.68;;1.35;1.35;1974.0;81.1;-0.08;-0.04;1.03;0.55;-5.12;-1.34;1.997276;-9067;-1013;-1364;-69.57;-7.74;-9.51;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.69;;1.35;1.33;1974.0;81.1;-0.14;-0.17;1.42;0.52;-5.22;-1.40;1.232242;-10010;-1044;-1277;-76.77;-8.01;-8.80;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.70;;1.35;1.32;1974.0;81.1;-0.06;0.05;0.78;0.48;-5.30;-1.45;0.369444;-11316;-820;-1193;-86.73;-6.05;-8.11;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.71;;1.35;1.30;1974.0;81.1;-0.16;0.32;0.89;0.45;-5.39;-1.48;-0.520629;-11699;-611;-1151;-89.65;-4.23;-7.77;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.72;17;1.61;1.27;1974.0;81.1;-0.25;0.56;1.28;0.42;-5.47;-1.47;-1.367416;-11156;-261;-1100;-85.51;-1.17;-7.35;-2048;-2048;-2048;;0.77976859;-1.10931392;21;51562.80;17;0;0;0;0;2;0;0;0;0;25;0;0;0;0;19;0;0;0;0;4;0;0;0;0;20;0;0;0;0;6;0;0;0;0;9;0;0;0;0;11;0;0;0;0;12;0;0;0;0;7;2;0;0;0;21;2;0;0;0
0.73;;1.61;1.21;1974.1;81.1;-0.54;0.59;1.02;0.39;-5.56;-1.47;-2.068984;-9273;-229;-1205;-71.14;-0.89;-8.21;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.74;;1.61;1.14;1974.1;81.1;-0.71;0.52;1.09;0.37;-5.64;-1.47;-2.695398;-8306;-292;-1131;-63.76;-1.44;-7.61;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.75;;1.61;1.07;1974.1;81.1;-0.72;0.28;1.50;0.35;-5.71;-1.48;-3.293810;-7956;-454;-958;-61.09;-2.86;-6.19;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.76;;1.61;1.02;1974.1;81.1;-0.46;0.20;1.23;0.33;-5.76;-1.51;-3.882708;-7848;-591;-737;-60.27;-4.05;-4.38;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.77;;1.61;1.01;1974.1;81.1;-0.12;0.35;1.25;0.31;-5.78;-1.53;-4.502162;-8266;-511;-484;-63.46;-3.35;-2.31;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.78;;1.61;1.03;1974.1;81.1;0.17;0.31;1.18;0.28;-5.80;-1.50;-5.052192;-7372;28;-375;-56.64;1.35;-1.42;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.79;;1.61;1.05;1974.2;81.1;0.22;0.15;1.14;0.25;-5.82;-1.43;-5.558139;-6809;440;-264;-52.34;4.95;-0.51;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.80;;1.61;1.08;1974.2;107.1;0.29;-0.00;1.35;0.23;-5.82;-1.33;-6.027853;-6348;931;-128;-48.82;9.23;0.60;-2048;-2048;-2048;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.81;;1.61;1.12;1974.2;107.1;0.39;0.03;1.48;0.21;-5.80;-1.22;-6.494538;-6322;963;29;-48.62;9.51;1.89;-2048;-2048;-2048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
